1309 runs of length 0
654 runs of length 1
332 runs of length 2
138 runs of length 3
78 runs of length 4
36 runs of length 5
16 runs of length 6
8 runs of length 7
1 runs of length 8
3 runs of length 9
1 runs of length 10
